instant,date,count
1,2011-01-20,10
2,2011-01-20,3
3,2011-01-20,0
4,2011-01-20,-1
5,2011-01-20,2
6,2011-01-20,2
7,2011-01-20,30
8,2011-01-20,116
9,2011-01-20,169
10,2011-01-20,113
11,2011-01-20,47
12,2011-01-20,43
13,2011-01-20,58
14,2011-01-20,60
15,2011-01-20,57
16,2011-01-20,73
17,2011-01-20,125
18,2011-01-20,190
19,2011-01-20,183
20,2011-01-20,112
21,2011-01-20,80
22,2011-01-20,57
23,2011-01-20,31
24,2011-01-20,14
25,2011-01-21,16
26,2011-01-21,6
27,2011-01-21,-4
28,2011-01-21,-10
29,2011-01-21,0
30,2011-01-21,1
31,2011-01-21,22
32,2011-01-21,91
33,2011-01-21,140
34,2011-01-21,104
35,2011-01-21,41
36,2011-01-21,38
37,2011-01-21,62
38,2011-01-21,65
39,2011-01-21,51
40,2011-01-21,43
41,2011-01-21,76
42,2011-01-21,115
43,2011-01-21,112
44,2011-01-21,61
45,2011-01-21,28
46,2011-01-21,27
47,2011-01-21,15
48,2011-01-21,19
49,2011-01-22,27
50,2011-01-22,30
51,2011-01-22,23
52,2011-01-22,11
53,2011-01-22,9
54,2011-01-22,10
55,2011-01-22,11
56,2011-01-22,18
57,2011-01-22,27
58,2011-01-22,60
59,2011-01-22,83
60,2011-01-22,88
61,2011-01-22,92
62,2011-01-22,96
63,2011-01-22,99
64,2011-01-22,76
65,2011-01-22,71
66,2011-01-22,31
67,2011-01-22,23
68,2011-01-22,26
69,2011-01-22,34
70,2011-01-22,32
71,2011-01-22,25
72,2011-01-23,35
73,2011-01-23,24
74,2011-01-23,12
75,2011-01-23,3
76,2011-01-23,6
77,2011-01-23,4
78,2011-01-23,2
79,2011-01-23,7
80,2011-01-23,19
81,2011-01-23,51
82,2011-01-23,83
83,2011-01-23,78
84,2011-01-23,69
85,2011-01-23,83
86,2011-01-23,85
87,2011-01-23,75
88,2011-01-23,51
89,2011-01-23,46
90,2011-01-23,37
91,2011-01-23,35
92,2011-01-23,33
93,2011-01-23,15
94,2011-01-23,4
95,2011-01-24,5
96,2011-01-24,1
97,2011-01-24,1
98,2011-01-24,3
99,2011-01-24,7
100,2011-01-24,33
101,2011-01-24,95
102,2011-01-24,128
