instant,date,count
1,2011-01-20,-34
2,2011-01-20,-30
3,2011-01-20,-22
4,2011-01-20,-11
5,2011-01-20,-3
6,2011-01-20,-9
7,2011-01-20,-6
8,2011-01-20,11
9,2011-01-20,21
10,2011-01-20,30
11,2011-01-20,58
12,2011-01-20,70
13,2011-01-20,91
14,2011-01-20,87
15,2011-01-20,101
16,2011-01-20,115
17,2011-01-20,109
18,2011-01-20,119
19,2011-01-20,101
20,2011-01-20,116
21,2011-01-20,109
22,2011-01-20,112
23,2011-01-20,109
24,2011-01-20,118
25,2011-01-21,-73
26,2011-01-21,-65
27,2011-01-21,-75
28,2011-01-21,-80
29,2011-01-21,-76
30,2011-01-21,-5
31,2011-01-21,6
32,2011-01-21,16
33,2011-01-21,33
34,2011-01-21,34
35,2011-01-21,50
36,2011-01-21,75
37,2011-01-21,113
38,2011-01-21,125
39,2011-01-21,124
40,2011-01-21,118
41,2011-01-21,126
42,2011-01-21,125
43,2011-01-21,124
44,2011-01-21,132
45,2011-01-21,129
46,2011-01-21,121
47,2011-01-21,117
48,2011-01-21,131
49,2011-01-22,-75
50,2011-01-22,-69
51,2011-01-22,-60
52,2011-01-22,-51
53,2011-01-22,-61
54,2011-01-22,-37
55,2011-01-22,-21
56,2011-01-22,-14
57,2011-01-22,4
58,2011-01-22,6
59,2011-01-22,24
60,2011-01-22,36
61,2011-01-22,68
62,2011-01-22,80
63,2011-01-22,100
64,2011-01-22,111
65,2011-01-22,123
66,2011-01-22,101
67,2011-01-22,110
68,2011-01-22,92
69,2011-01-22,111
70,2011-01-22,108
71,2011-01-22,89
72,2011-01-23,-112
73,2011-01-23,-104
74,2011-01-23,-110
75,2011-01-23,-101
76,2011-01-23,-80
77,2011-01-23,-72
78,2011-01-23,-46
79,2011-01-23,-53
80,2011-01-23,-19
81,2011-01-23,15
82,2011-01-23,29
83,2011-01-23,55
84,2011-01-23,64
85,2011-01-23,88
86,2011-01-23,96
87,2011-01-23,107
88,2011-01-23,110
89,2011-01-23,106
90,2011-01-23,115
91,2011-01-23,106
92,2011-01-23,112
93,2011-01-23,111
94,2011-01-23,107
95,2011-01-24,-71
96,2011-01-24,-76
97,2011-01-24,-61
98,2011-01-24,-59
99,2011-01-24,-51
100,2011-01-24,-42
101,2011-01-24,-30
102,2011-01-24,-18
103,2011-01-24,9
104,2011-01-24,18
105,2011-01-24,20
106,2011-01-24,34
107,2011-01-24,44
108,2011-01-24,46
109,2011-01-24,79
110,2011-01-24,74
111,2011-01-24,69
112,2011-01-24,60
113,2011-01-24,80
114,2011-01-24,77
115,2011-01-24,78
116,2011-01-24,78
117,2011-01-24,89
118,2011-01-25,-103
119,2011-01-25,-94
120,2011-01-25,-78
121,2011-01-25,-75
122,2011-01-25,-69
123,2011-01-25,-54
124,2011-01-25,-48
125,2011-01-25,-46
126,2011-01-25,-7
127,2011-01-25,13
128,2011-01-25,25
129,2011-01-25,49
130,2011-01-25,56
131,2011-01-25,96
132,2011-01-25,115
133,2011-01-25,123
134,2011-01-25,129
135,2011-01-25,121
136,2011-01-25,85
137,2011-01-25,95
138,2011-01-25,103
139,2011-01-25,110
140,2011-01-25,109
141,2011-01-26,-83
142,2011-01-26,-62
143,2011-01-26,-73
144,2011-01-26,-89
145,2011-01-26,-81
146,2011-01-26,-67
147,2011-01-26,-59
148,2011-01-26,-51
149,2011-01-26,-55
150,2011-01-26,-48
151,2011-01-26,-40
152,2011-01-26,-32
153,2011-01-26,-23
154,2011-01-26,-14
155,2011-01-26,-16
156,2011-01-26,-4
157,2011-01-27,85
158,2011-01-27,93
159,2011-01-27,69
160,2011-01-27,77
161,2011-01-27,70
162,2011-01-27,78
163,2011-01-27,86
164,2011-01-27,82
165,2011-01-28,-94
166,2011-01-28,-86
167,2011-01-28,-77
168,2011-01-28,-68
169,2011-01-28,-66
170,2011-01-28,-60
171,2011-01-28,-67
172,2011-01-28,-59
173,2011-01-28,-54
174,2011-01-28,-46
175,2011-01-28,-51
176,2011-01-28,-43
177,2011-01-28,-35
178,2011-01-28,9
179,2011-01-28,8
180,2011-01-28,41
181,2011-01-28,61
182,2011-01-28,68
183,2011-01-28,68
184,2011-01-28,85
185,2011-01-28,80
186,2011-01-28,122
187,2011-01-28,138
188,2011-01-29,-59
189,2011-01-29,-51
190,2011-01-29,-44
191,2011-01-29,-41
192,2011-01-29,-54
193,2011-01-29,-27
194,2011-01-29,-10
195,2011-01-29,11
196,2011-01-29,12
197,2011-01-29,2
198,2011-01-29,9
199,2011-01-29,31
200,2011-01-29,53
201,2011-01-29,51
202,2011-01-29,51
203,2011-01-29,81
204,2011-01-29,92
205,2011-01-29,74
206,2011-01-29,75
207,2011-01-29,71
208,2011-01-29,79
209,2011-01-29,71
210,2011-01-29,79
211,2011-01-30,-124
212,2011-01-30,-117
213,2011-01-30,-103
214,2011-01-30,-126
215,2011-01-30,-117
216,2011-01-30,-96
217,2011-01-30,-80
218,2011-01-30,-80
219,2011-01-30,-55
220,2011-01-30,-42
221,2011-01-30,-6
222,2011-01-30,66
223,2011-01-30,49
224,2011-01-30,59
225,2011-01-30,82
226,2011-01-30,90
227,2011-01-30,96
228,2011-01-30,76
229,2011-01-30,85
230,2011-01-30,84
231,2011-01-30,77
232,2011-01-30,84
233,2011-01-30,101
234,2011-01-31,-75
235,2011-01-31,-61
236,2011-01-31,-52
237,2011-01-31,-44
238,2011-01-31,-33
239,2011-01-31,-41
240,2011-01-31,-48
241,2011-01-31,-40
242,2011-01-31,-22
243,2011-01-31,-14
