instant,date,count
1,2011-01-20,138
2,2011-01-20,138
3,2011-01-20,137
4,2011-01-20,137
5,2011-01-20,137
6,2011-01-20,137
7,2011-01-20,139
8,2011-01-20,139
9,2011-01-20,139
10,2011-01-20,139
11,2011-01-20,139
12,2011-01-20,139
13,2011-01-20,139
14,2011-01-20,139
15,2011-01-20,139
16,2011-01-20,139
17,2011-01-20,139
18,2011-01-20,139
19,2011-01-20,139
20,2011-01-20,139
21,2011-01-20,139
22,2011-01-20,139
23,2011-01-20,139
24,2011-01-20,139
25,2011-01-21,138
26,2011-01-21,138
27,2011-01-21,137
28,2011-01-21,137
29,2011-01-21,137
30,2011-01-21,137
31,2011-01-21,139
32,2011-01-21,139
33,2011-01-21,139
34,2011-01-21,139
35,2011-01-21,139
36,2011-01-21,139
37,2011-01-21,139
38,2011-01-21,139
39,2011-01-21,139
40,2011-01-21,139
41,2011-01-21,139
42,2011-01-21,139
43,2011-01-21,139
44,2011-01-21,139
45,2011-01-21,139
46,2011-01-21,139
47,2011-01-21,139
48,2011-01-21,139
49,2011-01-22,139
50,2011-01-22,139
51,2011-01-22,138
52,2011-01-22,138
53,2011-01-22,138
54,2011-01-22,137
55,2011-01-22,139
56,2011-01-22,139
57,2011-01-22,139
58,2011-01-22,139
59,2011-01-22,139
60,2011-01-22,139
61,2011-01-22,139
62,2011-01-22,139
63,2011-01-22,139
64,2011-01-22,139
65,2011-01-22,139
66,2011-01-22,139
67,2011-01-22,139
68,2011-01-22,139
69,2011-01-22,139
70,2011-01-22,139
71,2011-01-22,139
72,2011-01-23,139
73,2011-01-23,139
74,2011-01-23,138
75,2011-01-23,138
76,2011-01-23,138
77,2011-01-23,137
78,2011-01-23,139
79,2011-01-23,139
80,2011-01-23,139
81,2011-01-23,139
82,2011-01-23,139
83,2011-01-23,139
84,2011-01-23,139
85,2011-01-23,139
86,2011-01-23,139
87,2011-01-23,139
88,2011-01-23,139
89,2011-01-23,139
90,2011-01-23,139
91,2011-01-23,139
92,2011-01-23,139
93,2011-01-23,139
94,2011-01-23,139
95,2011-01-24,138
96,2011-01-24,138
97,2011-01-24,137
98,2011-01-24,137
99,2011-01-24,137
100,2011-01-24,139
101,2011-01-24,139
102,2011-01-24,139
103,2011-01-24,139
104,2011-01-24,139
105,2011-01-24,139
106,2011-01-24,139
107,2011-01-24,139
108,2011-01-24,139
109,2011-01-24,139
110,2011-01-24,139
111,2011-01-24,139
112,2011-01-24,139
113,2011-01-24,139
114,2011-01-24,139
115,2011-01-24,139
116,2011-01-24,139
117,2011-01-24,139
118,2011-01-25,138
119,2011-01-25,138
120,2011-01-25,137
121,2011-01-25,137
122,2011-01-25,137
123,2011-01-25,139
124,2011-01-25,139
125,2011-01-25,139
126,2011-01-25,139
127,2011-01-25,139
128,2011-01-25,139
129,2011-01-25,139
130,2011-01-25,139
131,2011-01-25,139
132,2011-01-25,139
133,2011-01-25,139
134,2011-01-25,139
135,2011-01-25,139
136,2011-01-25,139
137,2011-01-25,139
138,2011-01-25,139
139,2011-01-25,139
140,2011-01-25,139
141,2011-01-26,138
142,2011-01-26,138
143,2011-01-26,137
144,2011-01-26,137
145,2011-01-26,139
146,2011-01-26,139
147,2011-01-26,139
148,2011-01-26,139
149,2011-01-26,139
150,2011-01-26,139
151,2011-01-26,139
152,2011-01-26,139
153,2011-01-26,139
154,2011-01-26,139
155,2011-01-26,139
156,2011-01-26,139
157,2011-01-27,139
158,2011-01-27,139
159,2011-01-27,139
160,2011-01-27,139
161,2011-01-27,139
162,2011-01-27,139
163,2011-01-27,139
164,2011-01-27,139
165,2011-01-28,138
166,2011-01-28,138
167,2011-01-28,137
168,2011-01-28,137
169,2011-01-28,137
170,2011-01-28,139
171,2011-01-28,139
172,2011-01-28,139
173,2011-01-28,139
174,2011-01-28,139
175,2011-01-28,139
176,2011-01-28,139
177,2011-01-28,139
178,2011-01-28,139
179,2011-01-28,139
180,2011-01-28,139
181,2011-01-28,139
182,2011-01-28,139
183,2011-01-28,139
184,2011-01-28,139
185,2011-01-28,139
186,2011-01-28,139
187,2011-01-28,139
188,2011-01-29,139
189,2011-01-29,139
190,2011-01-29,138
191,2011-01-29,138
192,2011-01-29,138
193,2011-01-29,137
194,2011-01-29,139
195,2011-01-29,139
196,2011-01-29,139
197,2011-01-29,139
198,2011-01-29,139
199,2011-01-29,139
200,2011-01-29,139
201,2011-01-29,139
202,2011-01-29,139
203,2011-01-29,139
204,2011-01-29,139
205,2011-01-29,139
206,2011-01-29,139
207,2011-01-29,139
208,2011-01-29,139
209,2011-01-29,139
210,2011-01-29,139
211,2011-01-30,139
212,2011-01-30,139
213,2011-01-30,138
214,2011-01-30,138
215,2011-01-30,138
216,2011-01-30,138
217,2011-01-30,139
218,2011-01-30,139
219,2011-01-30,139
220,2011-01-30,139
221,2011-01-30,139
222,2011-01-30,139
223,2011-01-30,139
224,2011-01-30,139
225,2011-01-30,139
226,2011-01-30,139
227,2011-01-30,139
228,2011-01-30,139
229,2011-01-30,139
230,2011-01-30,139
231,2011-01-30,139
232,2011-01-30,139
233,2011-01-30,139
234,2011-01-31,138
235,2011-01-31,138
236,2011-01-31,137
237,2011-01-31,137
238,2011-01-31,137
239,2011-01-31,137
240,2011-01-31,139
241,2011-01-31,139
242,2011-01-31,139
243,2011-01-31,139
244,2011-01-31,139
245,2011-01-31,139
246,2011-01-31,139
247,2011-01-31,139
248,2011-01-31,139
249,2011-01-31,139
250,2011-01-31,139
251,2011-01-31,139
252,2011-01-31,139
253,2011-01-31,139
254,2011-01-31,139
255,2011-01-31,139
256,2011-01-31,139
257,2011-01-31,139
258,2011-02-20,139
259,2011-02-20,139
260,2011-02-20,138
261,2011-02-20,138
262,2011-02-20,138
263,2011-02-20,137
264,2011-02-20,139
265,2011-02-20,139
266,2011-02-20,139
267,2011-02-20,139
268,2011-02-20,139
269,2011-02-20,139
270,2011-02-20,139
271,2011-02-20,139
272,2011-02-20,139
273,2011-02-20,139
274,2011-02-20,139
275,2011-02-20,139
276,2011-02-20,139
277,2011-02-20,139
278,2011-02-20,139
279,2011-02-20,139
280,2011-02-20,139
281,2011-02-21,139
282,2011-02-21,139
283,2011-02-21,138
284,2011-02-21,138
285,2011-02-21,138
286,2011-02-21,138
287,2011-02-21,137
288,2011-02-21,139
289,2011-02-21,139
290,2011-02-21,139
291,2011-02-21,139
292,2011-02-21,139
293,2011-02-21,139
294,2011-02-21,139
295,2011-02-21,139
296,2011-02-21,139
297,2011-02-21,139
298,2011-02-21,139
299,2011-02-21,139
300,2011-02-21,139
301,2011-02-21,139
302,2011-02-21,139
303,2011-02-21,139
304,2011-02-21,139
305,2011-02-22,139
306,2011-02-22,139
307,2011-02-22,139
308,2011-02-22,139
309,2011-02-22,139
310,2011-02-22,139
311,2011-02-22,139
312,2011-02-22,139
313,2011-02-22,139
314,2011-02-22,139
315,2011-02-22,139
316,2011-02-22,139
317,2011-02-22,139
318,2011-02-22,139
319,2011-02-22,139
320,2011-02-22,139
321,2011-02-22,139
322,2011-02-22,139
323,2011-02-23,138
324,2011-02-23,138
325,2011-02-23,137
326,2011-02-23,137
327,2011-02-23,137
328,2011-02-23,139
329,2011-02-23,139
330,2011-02-23,139
331,2011-02-23,139
332,2011-02-23,139
333,2011-02-23,139
334,2011-02-23,139
335,2011-02-23,139
336,2011-02-23,139
337,2011-02-23,139
338,2011-02-23,139
339,2011-02-23,139
340,2011-02-23,139
341,2011-02-23,139
342,2011-02-23,139
343,2011-02-23,139
344,2011-02-23,139
345,2011-02-23,139
346,2011-02-24,138
347,2011-02-24,138
348,2011-02-24,137
349,2011-02-24,137
350,2011-02-24,137
351,2011-02-24,139
352,2011-02-24,139
353,2011-02-24,139
354,2011-02-24,139
355,2011-02-24,139
356,2011-02-24,139
357,2011-02-24,139
358,2011-02-24,139
359,2011-02-24,139
360,2011-02-24,139
361,2011-02-24,139
362,2011-02-24,139
363,2011-02-24,139
364,2011-02-24,139
365,2011-02-24,139
366,2011-02-24,139
367,2011-02-24,139
368,2011-02-24,139
369,2011-02-25,138
370,2011-02-25,138
371,2011-02-25,137
372,2011-02-25,137
373,2011-02-25,137
374,2011-02-25,139
375,2011-02-25,139
376,2011-02-25,139
377,2011-02-25,139
378,2011-02-25,139
379,2011-02-25,144
380,2011-02-25,144
381,2011-02-25,144
382,2011-02-25,144
383,2011-02-25,139
384,2011-02-25,139
385,2011-02-25,139
386,2011-02-25,139
387,2011-02-25,139
388,2011-02-25,139
389,2011-02-25,139
390,2011-02-25,139
391,2011-02-25,139
392,2011-02-26,139
393,2011-02-26,139
394,2011-02-26,138
395,2011-02-26,138
396,2011-02-26,138
397,2011-02-26,138
398,2011-02-26,137
399,2011-02-26,139
400,2011-02-26,139
401,2011-02-26,139
402,2011-02-26,139
403,2011-02-26,139
404,2011-02-26,139
405,2011-02-26,139
406,2011-02-26,139
407,2011-02-26,139
408,2011-02-26,139
409,2011-02-26,139
410,2011-02-26,139
411,2011-02-26,139
412,2011-02-26,139
413,2011-02-26,139
414,2011-02-26,139
415,2011-02-26,139
416,2011-02-27,139
417,2011-02-27,139
418,2011-02-27,138
419,2011-02-27,138
420,2011-02-27,138
421,2011-02-27,137
422,2011-02-27,139
423,2011-02-27,139
424,2011-02-27,139
425,2011-02-27,139
426,2011-02-27,139
427,2011-02-27,139
428,2011-02-27,139
429,2011-02-27,139
430,2011-02-27,139
431,2011-02-27,147
432,2011-02-27,139
433,2011-02-27,139
434,2011-02-27,139
435,2011-02-27,139
436,2011-02-27,139
437,2011-02-27,139
438,2011-02-27,139
439,2011-02-28,138
440,2011-02-28,138
441,2011-02-28,137
442,2011-02-28,137
443,2011-02-28,139
444,2011-02-28,139
445,2011-02-28,139
446,2011-02-28,139
447,2011-02-28,144
448,2011-02-28,144
449,2011-02-28,144
450,2011-02-28,139
451,2011-02-28,139
452,2011-02-28,139
453,2011-02-28,139
454,2011-02-28,139
455,2011-02-28,139
456,2011-02-28,139
457,2011-02-28,139
458,2011-02-28,139
459,2011-02-28,139
460,2011-02-28,139
461,2011-03-20,139
462,2011-03-20,139
463,2011-03-20,138
464,2011-03-20,138
465,2011-03-20,138
466,2011-03-20,138
467,2011-03-20,137
468,2011-03-20,139
469,2011-03-20,139
470,2011-03-20,139
471,2011-03-20,139
472,2011-03-20,139
473,2011-03-20,139
474,2011-03-20,139
475,2011-03-20,139
476,2011-03-20,139
477,2011-03-20,139
478,2011-03-20,139
479,2011-03-20,139
480,2011-03-20,139
481,2011-03-20,139
482,2011-03-20,139
483,2011-03-20,139
484,2011-03-20,139
