instant,date,count
1,2011-01-20,-35
2,2011-01-20,-30
3,2011-01-20,-22
4,2011-01-20,-12
5,2011-01-20,-4
6,2011-01-20,-10
7,2011-01-20,-7
8,2011-01-20,10
9,2011-01-20,20
10,2011-01-20,29
11,2011-01-20,57
12,2011-01-20,70
13,2011-01-20,92
14,2011-01-20,87
15,2011-01-20,101
16,2011-01-20,116
17,2011-01-20,109
18,2011-01-20,119
19,2011-01-20,101
20,2011-01-20,115
21,2011-01-20,109
22,2011-01-20,111
23,2011-01-20,107
24,2011-01-20,117
25,2011-01-21,-74
26,2011-01-21,-66
27,2011-01-21,-75
28,2011-01-21,-81
29,2011-01-21,-76
30,2011-01-21,-7
31,2011-01-21,6
32,2011-01-21,15
33,2011-01-21,32
34,2011-01-21,33
35,2011-01-21,49
36,2011-01-21,74
37,2011-01-21,113
38,2011-01-21,125
39,2011-01-21,123
40,2011-01-21,117
41,2011-01-21,126
42,2011-01-21,125
43,2011-01-21,124
44,2011-01-21,131
45,2011-01-21,128
46,2011-01-21,120
47,2011-01-21,115
48,2011-01-21,130
49,2011-01-22,-76
50,2011-01-22,-70
51,2011-01-22,-60
52,2011-01-22,-51
53,2011-01-22,-61
54,2011-01-22,-37
55,2011-01-22,-22
56,2011-01-22,-16
57,2011-01-22,3
58,2011-01-22,6
59,2011-01-22,24
60,2011-01-22,37
61,2011-01-22,68
62,2011-01-22,80
63,2011-01-22,100
64,2011-01-22,111
65,2011-01-22,124
66,2011-01-22,101
67,2011-01-22,110
68,2011-01-22,91
69,2011-01-22,110
70,2011-01-22,108
71,2011-01-22,88
72,2011-01-23,-112
73,2011-01-23,-104
74,2011-01-23,-110
75,2011-01-23,-102
76,2011-01-23,-80
77,2011-01-23,-72
78,2011-01-23,-46
79,2011-01-23,-54
80,2011-01-23,-20
81,2011-01-23,13
82,2011-01-23,28
83,2011-01-23,54
84,2011-01-23,63
85,2011-01-23,88
86,2011-01-23,96
87,2011-01-23,107
88,2011-01-23,109
89,2011-01-23,106
90,2011-01-23,114
91,2011-01-23,105
92,2011-01-23,111
93,2011-01-23,110
94,2011-01-23,106
95,2011-01-24,-72
96,2011-01-24,-77
97,2011-01-24,-62
98,2011-01-24,-60
99,2011-01-24,-52
100,2011-01-24,-42
101,2011-01-24,-29
102,2011-01-24,-18
103,2011-01-24,10
104,2011-01-24,18
105,2011-01-24,19
106,2011-01-24,34
107,2011-01-24,43
108,2011-01-24,45
109,2011-01-24,79
110,2011-01-24,73
111,2011-01-24,68
112,2011-01-24,59
113,2011-01-24,79
114,2011-01-24,75
115,2011-01-24,77
116,2011-01-24,76
117,2011-01-24,88
118,2011-01-25,-104
119,2011-01-25,-94
120,2011-01-25,-80
121,2011-01-25,-76
122,2011-01-25,-70
123,2011-01-25,-55
124,2011-01-25,-49
125,2011-01-25,-46
126,2011-01-25,-7
127,2011-01-25,13
128,2011-01-25,24
129,2011-01-25,49
130,2011-01-25,56
131,2011-01-25,97
132,2011-01-25,116
133,2011-01-25,124
134,2011-01-25,129
135,2011-01-25,121
136,2011-01-25,85
137,2011-01-25,94
138,2011-01-25,102
139,2011-01-25,108
140,2011-01-25,109
141,2011-01-26,-83
142,2011-01-26,-62
143,2011-01-26,-73
144,2011-01-26,-90
145,2011-01-26,-82
146,2011-01-26,-68
147,2011-01-26,-60
148,2011-01-26,-52
149,2011-01-26,-56
150,2011-01-26,-49
151,2011-01-26,-41
152,2011-01-26,-33
153,2011-01-26,-24
154,2011-01-26,-16
155,2011-01-26,-17
156,2011-01-26,-5
157,2011-01-27,84
158,2011-01-27,92
159,2011-01-27,68
160,2011-01-27,76
161,2011-01-27,69
