instant,date,count
1,2011-01-20,10
2,2011-01-20,5
3,2011-01-20,4
4,2011-01-20,3
5,2011-01-20,3
6,2011-01-20,5
7,2011-01-20,35
8,2011-01-20,87
9,2011-01-20,213
10,2011-01-20,117
11,2011-01-20,60
12,2011-01-20,63
13,2011-01-20,80
14,2011-01-20,71
15,2011-01-20,78
16,2011-01-20,81
17,2011-01-20,91
18,2011-01-20,186
19,2011-01-20,173
20,2011-01-20,100
21,2011-01-20,68
22,2011-01-20,48
23,2011-01-20,44
24,2011-01-20,24
25,2011-01-21,12
26,2011-01-21,6
27,2011-01-21,3
28,2011-01-21,2
29,2011-01-21,2
30,2011-01-21,3
31,2011-01-21,31
32,2011-01-21,85
33,2011-01-21,195
34,2011-01-21,115
35,2011-01-21,44
36,2011-01-21,58
37,2011-01-21,73
38,2011-01-21,64
39,2011-01-21,63
40,2011-01-21,63
41,2011-01-21,76
42,2011-01-21,143
43,2011-01-21,144
44,2011-01-21,103
45,2011-01-21,62
46,2011-01-21,45
47,2011-01-21,32
48,2011-01-21,19
49,2011-01-22,24
50,2011-01-22,27
51,2011-01-22,17
52,2011-01-22,10
53,2011-01-22,3
54,2011-01-22,5
55,2011-01-22,14
56,2011-01-22,29
57,2011-01-22,41
58,2011-01-22,60
59,2011-01-22,65
60,2011-01-22,74
61,2011-01-22,77
62,2011-01-22,75
63,2011-01-22,77
64,2011-01-22,78
65,2011-01-22,89
66,2011-01-22,65
67,2011-01-22,43
68,2011-01-22,46
69,2011-01-22,45
70,2011-01-22,34
71,2011-01-22,19
72,2011-01-23,29
73,2011-01-23,26
74,2011-01-23,18
75,2011-01-23,22
76,2011-01-23,3
77,2011-01-23,2
78,2011-01-23,10
79,2011-01-23,21
80,2011-01-23,37
81,2011-01-23,56
82,2011-01-23,65
83,2011-01-23,73
84,2011-01-23,69
85,2011-01-23,74
86,2011-01-23,75
87,2011-01-23,79
88,2011-01-23,81
89,2011-01-23,72
90,2011-01-23,49
91,2011-01-23,40
92,2011-01-23,36
93,2011-01-23,21
94,2011-01-23,11
95,2011-01-24,7
96,2011-01-24,4
97,2011-01-24,2
98,2011-01-24,2
99,2011-01-24,5
100,2011-01-24,32
101,2011-01-24,78
102,2011-01-24,166
103,2011-01-24,101
104,2011-01-24,45
105,2011-01-24,41
106,2011-01-24,55
107,2011-01-24,54
108,2011-01-24,53
109,2011-01-24,56
110,2011-01-24,68
111,2011-01-24,144
112,2011-01-24,145
113,2011-01-24,96
114,2011-01-24,63
115,2011-01-24,44
116,2011-01-24,25
117,2011-01-24,15
118,2011-01-25,6
119,2011-01-25,4
120,2011-01-25,2
121,2011-01-25,2
122,2011-01-25,5
123,2011-01-25,34
124,2011-01-25,77
125,2011-01-25,183
126,2011-01-25,117
127,2011-01-25,57
128,2011-01-25,59
129,2011-01-25,73
130,2011-01-25,74
131,2011-01-25,72
132,2011-01-25,76
133,2011-01-25,94
134,2011-01-25,189
135,2011-01-25,170
136,2011-01-25,112
137,2011-01-25,69
138,2011-01-25,48
139,2011-01-25,38
140,2011-01-25,19
141,2011-01-26,7
142,2011-01-26,4
143,2011-01-26,2
144,2011-01-26,2
145,2011-01-26,31
146,2011-01-26,75
147,2011-01-26,150
148,2011-01-26,92
149,2011-01-26,44
150,2011-01-26,43
151,2011-01-26,50
152,2011-01-26,50
153,2011-01-26,46
154,2011-01-26,48
155,2011-01-26,58
156,2011-01-26,120
157,2011-01-27,80
158,2011-01-27,167
159,2011-01-27,158
160,2011-01-27,98
161,2011-01-27,70
162,2011-01-27,50
163,2011-01-27,41
164,2011-01-27,20
165,2011-01-28,11
166,2011-01-28,6
167,2011-01-28,2
168,2011-01-28,1
169,2011-01-28,5
170,2011-01-28,29
171,2011-01-28,79
172,2011-01-28,186
173,2011-01-28,100
174,2011-01-28,45
175,2011-01-28,45
176,2011-01-28,53
177,2011-01-28,53
178,2011-01-28,56
179,2011-01-28,54
180,2011-01-28,74
181,2011-01-28,166
182,2011-01-28,162
183,2011-01-28,100
184,2011-01-28,69
185,2011-01-28,48
186,2011-01-28,41
187,2011-01-28,27
188,2011-01-29,27
189,2011-01-29,24
190,2011-01-29,22
191,2011-01-29,13
192,2011-01-29,3
193,2011-01-29,4
194,2011-01-29,14
195,2011-01-29,36
196,2011-01-29,41
197,2011-01-29,67
198,2011-01-29,69
199,2011-01-29,84
200,2011-01-29,84
201,2011-01-29,82
202,2011-01-29,80
203,2011-01-29,89
204,2011-01-29,78
205,2011-01-29,68
206,2011-01-29,46
207,2011-01-29,51
208,2011-01-29,47
209,2011-01-29,37
210,2011-01-29,20
211,2011-01-30,30
212,2011-01-30,29
213,2011-01-30,21
214,2011-01-30,17
215,2011-01-30,3
216,2011-01-30,3
217,2011-01-30,10
218,2011-01-30,22
219,2011-01-30,41
220,2011-01-30,64
221,2011-01-30,69
222,2011-01-30,106
223,2011-01-30,87
224,2011-01-30,93
225,2011-01-30,110
226,2011-01-30,111
227,2011-01-30,77
228,2011-01-30,67
229,2011-01-30,43
230,2011-01-30,42
231,2011-01-30,36
232,2011-01-30,25
233,2011-01-30,16
234,2011-01-31,8
235,2011-01-31,4
236,2011-01-31,2
237,2011-01-31,2
238,2011-01-31,2
239,2011-01-31,2
240,2011-01-31,34
241,2011-01-31,72
242,2011-01-31,173
243,2011-01-31,91
244,2011-01-31,43
245,2011-01-31,44
246,2011-01-31,63
247,2011-01-31,61
248,2011-01-31,56
249,2011-01-31,53
250,2011-01-31,66
251,2011-01-31,149
252,2011-01-31,140
253,2011-01-31,115
254,2011-01-31,55
255,2011-01-31,36
256,2011-01-31,29
257,2011-01-31,15
258,2011-02-20,37
259,2011-02-20,35
260,2011-02-20,23
261,2011-02-20,17
262,2011-02-20,2
263,2011-02-20,4
264,2011-02-20,15
265,2011-02-20,30
266,2011-02-20,45
267,2011-02-20,95
268,2011-02-20,116
269,2011-02-20,130
270,2011-02-20,159
271,2011-02-20,146
272,2011-02-20,163
273,2011-02-20,158
274,2011-02-20,120
275,2011-02-20,96
276,2011-02-20,73
277,2011-02-20,70
278,2011-02-20,47
279,2011-02-20,43
280,2011-02-20,29
281,2011-02-21,34
282,2011-02-21,31
283,2011-02-21,19
284,2011-02-21,8
285,2011-02-21,2
286,2011-02-21,4
287,2011-02-21,15
288,2011-02-21,60
289,2011-02-21,81
290,2011-02-21,75
291,2011-02-21,100
292,2011-02-21,112
293,2011-02-21,115
294,2011-02-21,73
295,2011-02-21,104
296,2011-02-21,111
297,2011-02-21,78
298,2011-02-21,85
299,2011-02-21,76
300,2011-02-21,54
301,2011-02-21,40
302,2011-02-21,38
303,2011-02-21,25
304,2011-02-21,16
305,2011-02-22,30
306,2011-02-22,94
307,2011-02-22,185
308,2011-02-22,122
309,2011-02-22,46
310,2011-02-22,51
311,2011-02-22,64
312,2011-02-22,75
313,2011-02-22,74
314,2011-02-22,74
315,2011-02-22,76
316,2011-02-22,163
317,2011-02-22,162
